(('1322227340441722880_1238', 'sananbabayev', 'fethidenker'), -0.2857142857142856)
(('1329336106039595008_1253', 'sananbabayev', 'ramonberke'), 1.0)
(('1327156147351154688_1262', 'sananbabayev', 'omerkuyucu'), -0.19999999999999996)
(('1323669878881030148_1282', 'sananbabayev', 'omersurhay'), 0.3999999999999999)
(('1322473386090455041_1321', 'sananbabayev', 'omerkuyucu'), 0.33333333333333337)
(('1322171225305735171_1331', 'sananbabayev', 'ramonberke'), 0.0769230769230771)
(('1332257858331832320_1353', 'sananbabayev', 'dogru'), 1.0)
(('1329332331262345217_1376', 'sananbabayev', 'burakbatman'), 1.0)
(('1329310007687581702_1385', 'sananbabayev', 'rebahozkoc'), 1.0)
(('1327152662375243778_1398', 'sananbabayev', 'dogru'), 1.0)
(('1326107331059462146_1417', 'sananbabayev', 'msamil'), 1.0)
(('1324302941407174658_1439', 'sananbabayev', 'omerkuyucu'), 0.33333333333333337)
(('1323344123391176704_1463', 'sananbabayev', 'alperenyildiz'), 0.33333333333333337)
(('1323155740253736965_1481', 'sananbabayev', 'alisinal'), 0.5714285714285714)
(('1322793976970334211_1495', 'sananbabayev', 'ramonberke'), 0.5714285714285714)
(('1322425573340336130_1516', 'sananbabayev', 'omersurhay'), 1.0)
(('1322184210996748291_1533', 'sananbabayev', 'ramonberke'), 1.0)
(('1322101826934681601_1540', 'sananbabayev', 'gkantar'), 1.0)
(('1311294722107899911_1557', 'sananbabayev', 'mustafacem'), 0.0)
(('1322528752975360002_1601', 'sananbabayev', 'fethidenker'), -0.19999999999999996)
(('1329310007687581702_1619', 'sananbabayev', 'colakulas'), -0.19999999999999996)
(('1327503782620635136_1628', 'sananbabayev', 'zubeyir'), -0.19999999999999996)
(('1322966636257701888_1652', 'sananbabayev', 'goktugmandaci'), 0.0)
(('1322483423437639681_1665', 'sananbabayev', 'alisinal'), 0.5714285714285714)
(('1320291509153923078_1683', 'sananbabayev', 'suedaseker'), 1.0)
(('1332608921509523462_1701', 'sananbabayev', 'zubeyir'), 0.5714285714285714)
