(('1334064473204723712_2881', 'idilkale', 'fethidenker'), 0.6206896551724137)
(('1333732631343722503_2896', 'idilkale', 'omerkuyucu'), 0.38888888888888895)
(('1333668402888536065_2907', 'idilkale', 'rebahozkoc'), 0.7441860465116279)
(('1333347538607419393_2922', 'idilkale', 'alisinal'), 0.0)
(('1332959984942870530_2943', 'idilkale', 'burakbatman'), 0.38888888888888895)
(('1332254083340787715_2975', 'idilkale', 'burakbatman'), 0.6206896551724137)
(('1331631229377130497_3005', 'idilkale', 'omersurhay'), 1.0)
(('1331519241363681289_3016', 'idilkale', 'tolgaaydin'), 0.0)
(('1331001580406140931_3035', 'idilkale', 'dogru'), 1.0)
(('1330764508160274436_3041', 'idilkale', 'alikoray'), 1.0)
(('1329846974632271873_3076', 'idilkale', 'omersurhay'), 0.38888888888888895)
(('1329365047450198017_3103', 'idilkale', 'emirasal'), 1.0)
(('1330059623743823873_3067', 'idilkale', 'emirasal'), 1.0)
(('1329144846628519938_3114', 'idilkale', 'goktugmandaci'), 0.7441860465116279)
(('1328708312326606849_3127', 'idilkale', 'karakoc'), 0.0)
(('1328320246458036230_3143', 'idilkale', 'gkantar'), 1.0)
(('1327568207310413824_3171', 'idilkale', 'colakulas'), 1.0)
(('1327179395031855105_3188', 'idilkale', 'tahabayindir'), 0.6206896551724137)
(('1326905087524921344_3202', 'idilkale', 'ramonberke'), 0.42105263157894735)
(('1326645882704388096_3213', 'idilkale', 'dogru'), 0.6206896551724137)
(('1326421904018841601_3232', 'idilkale', 'orkhan'), 0.6206896551724137)
(('1325916070759202817_3249', 'idilkale', 'alisinal'), 0.6206896551724137)
(('1325541100078067713_3266', 'idilkale', 'burakbatman'), 0.38888888888888895)
(('1324796193503809538_3290', 'idilkale', 'orkhan'), -0.10000000000000009)
(('1324388088743895040_3303', 'idilkale', 'ramonberke'), 0.6206896551724137)
(('1323592007068114945_3316', 'idilkale', 'alikoray'), 0.6206896551724137)
(('1322575772595486721_3342', 'idilkale', 'orkhan'), 0.6206896551724137)
(('1322143713909481479_3346', 'idilkale', 'dogru'), 0.7441860465116279)
(('1321523142217605120_3370', 'idilkale', 'gkantar'), 1.0)
(('1321189929116811264_3388', 'idilkale', 'tolgaaydin'), 1.0)
(('1321049000372359169_3401', 'idilkale', 'ozgurbeker'), 0.6206896551724137)
(('1320399722197192707_3427', 'idilkale', 'ramonberke'), 0.38888888888888895)
(('1319901438953332736_3445', 'idilkale', 'emirasal'), 0.6206896551724137)
(('1319620839990530048_3455', 'idilkale', 'mustafacem'), 0.38888888888888895)
(('1319199312182611968_3472', 'idilkale', 'alpercakar'), 1.0)
(('1318811758610481163_3496', 'idilkale', 'dogru'), 0.6206896551724137)
(('1318235469524643840_3514', 'idilkale', 'zubeyir'), 0.6206896551724137)
(('1317396180989485058_3548', 'idilkale', 'gkantar'), 0.0)
(('1317152072828157953_3556', 'idilkale', 'sananbabayev'), 0.42105263157894735)
(('1316818625597243396_3580', 'idilkale', 'dogru'), -0.10000000000000009)
(('1316730545351532544_3584', 'idilkale', 'oteryaki'), 1.0)
(('1315788844386656258_3614', 'idilkale', 'caltinuzengi'), 0.7441860465116279)
(('1315645098923888640_3620', 'idilkale', 'goktugmandaci'), -0.2222222222222221)
(('1314538342843809794_3645', 'idilkale', 'caltinuzengi'), 1.0)
(('1313927072130056192_3668', 'idilkale', 'alpercakar'), 0.6206896551724137)
(('1313788661151010817_3680', 'idilkale', 'burakbatman'), 0.38888888888888895)
(('1313184680561213446_3698', 'idilkale', 'mustafacem'), 0.0)
(('1312734125778968582_3715', 'idilkale', 'omerkuyucu'), 0.6206896551724137)
(('1312366791054721024_3724', 'idilkale', 'msamil'), -0.10000000000000009)
(('1311653771349495810_3752', 'idilkale', 'burakbatman'), 0.6206896551724137)
(('1311616849398820864_3757', 'idilkale', 'orkhan'), 0.6206896551724137)
(('1310649223705178112_3785', 'idilkale', 'dogru'), -0.13793103448275867)
(('1310154715129352192_3797', 'idilkale', 'gkantar'), 0.0)
(('1309857758452252672_3808', 'idilkale', 'alpercakar'), 1.0)
(('1309419621406003200_3830', 'idilkale', 'emirasal'), 0.6206896551724137)
(('1308795760587100160_3852', 'idilkale', 'oteryaki'), 0.0)
(('1331319173776084992_5', 'omersurhay', 'orkhan'), 0.6206896551724137)
(('1334145295488266241_28', 'omersurhay', 'oteryaki'), 0.6206896551724137)
(('1333678469016784896_38', 'omersurhay', 'alpercakar'), 0.6206896551724137)
(('1332300642283565057_62', 'omersurhay', 'rebahozkoc'), 0.6206896551724137)
(('1322105965081251840_235', 'omersurhay', 'burakbatman'), 0.7441860465116279)
(('1324760959789883392_197', 'omersurhay', 'umutonder'), 0.0)
(('1326421904018841601_170', 'omersurhay', 'colakulas'), 0.0)
(('1322989285214138368_220', 'omersurhay', 'alperenyildiz'), 0.42105263157894735)
(('1331938254342430723_71', 'omersurhay', 'tolgaaydin'), 0.7441860465116279)
(('1325380038640889856_185', 'omersurhay', 'kkaan'), 1.0)
(('1326999040391835652_151', 'omersurhay', 'alpercakar'), 0.0)
(('1330516383214563330_95', 'omersurhay', 'ramonberke'), 1.0)
(('1329683394591031297_112', 'omersurhay', 'onatt'), 0.7441860465116279)
(('1329114647375400960_123', 'omersurhay', 'oteryaki'), 1.0)
(('1321441587478540290_250', 'omersurhay', 'dogru'), 0.38888888888888895)
(('1321038933959069696_267', 'omersurhay', 'caltinuzengi'), 1.0)
(('1320372040973438981_280', 'omersurhay', 'zubeyir'), 1.0)
(('1319294942846439424_305', 'omersurhay', 'onatt'), 0.2325581395348837)
(('1319279843222011905_309', 'omersurhay', 'umutonder'), 0.6206896551724137)
(('1317840358089367552_326', 'omersurhay', 'fethidenker'), -0.13793103448275867)
(('1315210529028399105_367', 'omersurhay', 'goktugmandaci'), 1.0)
(('1314136957195366400_390', 'omersurhay', 'mustafacem'), 1.0)
(('1313435080585601027_397', 'omersurhay', 'fethidenker'), 0.6206896551724137)
(('1311735130113757186_420', 'omersurhay', 'fethidenker'), -0.13793103448275867)
(('1311357410599211009_429', 'omersurhay', 'emirasal'), 0.6206896551724137)
(('1309209572834521090_458', 'omersurhay', 'mustafacem'), 1.0)
(('1334064473204723712_469', 'omersurhay', 'orkhan'), -0.10000000000000009)
(('1331968454530777089_488', 'omersurhay', 'ramonberke'), -0.13793103448275867)
(('1328659623684005888_509', 'omersurhay', 'mehmetcandar'), 0.6206896551724137)
(('1321767484698038272_538', 'omersurhay', 'orkhan'), 0.6206896551724137)
(('1310835653538709505_557', 'omersurhay', 'umutonder'), 0.2978723404255319)
(('1333336214091538435_578', 'omersurhay', 'ozgurbeker'), 0.0)
(('1332688194014363650_584', 'omersurhay', 'zubeyir'), 1.0)
(('1331549440423858176_601', 'omersurhay', 'colakulas'), 1.0)
(('1330415720031686656_620', 'omersurhay', 'alpercakar'), 0.6206896551724137)
(('1329711083372875776_635', 'omersurhay', 'alikoray'), 1.0)
(('1327972118554841089_663', 'omersurhay', 'ramonberke'), 1.0)
(('1327167712993419267_680', 'omersurhay', 'alpercakar'), 1.0)
(('1326525087059595265_689', 'omersurhay', 'sananbabayev'), -0.13793103448275867)
(('1324973610486870016_712', 'omersurhay', 'msamil'), 0.6206896551724137)
(('1324635130359648256_715', 'omersurhay', 'fethidenker'), 1.0)
(('1320637539464589312_738', 'omersurhay', 'dogru'), 0.0)
(('1317774927232077824_770', 'omersurhay', 'gkantar'), 0.0)
(('1315725170879807489_788', 'omersurhay', 'dogru'), 1.0)
(('1314234097707999232_801', 'omersurhay', 'alperenyildiz'), 1.0)
(('1312054734774177792_819', 'omersurhay', 'caltinuzengi'), 1.0)
(('1310495665303232512_840', 'omersurhay', 'alperenyildiz'), 0.0)
(('1333396612358483970_870', 'omersurhay', 'orkhan'), 0.7441860465116279)
(('1328065235001991174_893', 'omersurhay', 'fethidenker'), 0.6206896551724137)
(('1326247001613246467_902', 'omersurhay', 'alpercakar'), 0.0)
(('1315603116000268289_934', 'omersurhay', 'omerkuyucu'), -0.13793103448275867)
(('1312396990135771144_946', 'omersurhay', 'suedaseker'), 0.0)
(('1334072548607348742_2271', 'omersurhay', 'omerkuyucu'), 1.0)
(('1333662111352778763_2289', 'omersurhay', 'karakoc'), 1.0)
(('1333347538607419393_2298', 'omersurhay', 'caltinuzengi'), 0.0)
(('1332388244625952770_2314', 'omersurhay', 'mustafacem'), nan)
(('1331490300682858496_2332', 'omersurhay', 'caltinuzengi'), 0.0)
(('1330992017317404673_2344', 'omersurhay', 'mehmetcandar'), -0.10000000000000009)
(('1330153995554279424_2370', 'omersurhay', 'fethidenker'), 1.0)
(('1329134232594243588_2409', 'omersurhay', 'fethidenker'), 0.0)
(('1329134232594243588_2413', 'omersurhay', 'tahabayindir'), nan)
(('1329134232594243588_2429', 'omersurhay', 'ozgurbeker'), nan)
(('1326838398099853312_2478', 'omersurhay', 'alisinal'), 0.42105263157894735)
(('1324700561602564096_2511', 'omersurhay', 'alikoray'), 0.42105263157894735)
(('1323599024281313281_2528', 'omersurhay', 'gkantar'), 1.0)
(('1322912529736101888_2534', 'omersurhay', 'fethidenker'), -0.10000000000000009)
(('1322061891859042304_2548', 'omersurhay', 'alikoray'), 0.6206896551724137)
(('1321070391746387971_2579', 'omersurhay', 'alperenyildiz'), -0.10000000000000009)
(('1321056550073618434_2581', 'omersurhay', 'alisinal'), 1.0)
(('1319980711357591552_2605', 'omersurhay', 'rebahozkoc'), 0.6206896551724137)
(('1318916197656727555_2630', 'omersurhay', 'umutonder'), nan)
(('1317596249294589954_2662', 'omersurhay', 'goktugmandaci'), 0.0)
(('1316685246709067779_2682', 'omersurhay', 'suedaseker'), 0.0)
(('1315603116000268289_2705', 'omersurhay', 'kkaan'), 0.6206896551724137)
(('1315914997919363075_2699', 'omersurhay', 'rebahozkoc'), 0.0)
(('1314902248112238593_2718', 'omersurhay', 'zubeyir'), 0.7441860465116279)
(('1313562170291093509_2744', 'omersurhay', 'alpercakar'), 1.0)
(('1312643694500212738_2754', 'omersurhay', 'orkhan'), -0.13793103448275867)
(('1311727808247406592_2768', 'omersurhay', 'alikoray'), nan)
(('1311562765958610944_2786', 'omersurhay', 'ramonberke'), 1.0)
(('1310706295117426690_2814', 'omersurhay', 'sananbabayev'), -0.13793103448275867)
(('1309871034330472455_2833', 'omersurhay', 'colakulas'), 1.0)
(('1309176933486399489_2852', 'omersurhay', 'burakbatman'), 1.0)
(('1309103329146961922_2857', 'omersurhay', 'umutonder'), 0.0)
(('1334122645919592448_2874', 'omersurhay', 'tolgaaydin'), 0.38888888888888895)
(('1333745270698422273_2894', 'omersurhay', 'suedaseker'), 0.7441860465116279)
(('1333048069068353537_2935', 'omersurhay', 'dogru'), 0.6206896551724137)
(('1332962501428977665_2942', 'omersurhay', 'karakoc'), 0.0)
(('1332314481523781637_2967', 'omersurhay', 'tahabayindir'), 1.0)
(('1332048982000898048_2980', 'omersurhay', 'zubeyir'), 0.42105263157894735)
(('1331506658363674625_3017', 'omersurhay', 'sananbabayev'), -0.13793103448275867)
(('1331221035291697152_3030', 'omersurhay', 'fethidenker'), -0.10000000000000009)
(('1330763050006286338_3042', 'omersurhay', 'rebahozkoc'), 0.0)
(('1330102405657194497_3065', 'omersurhay', 'alpercakar'), 1.0)
(('1329349947813208065_3105', 'omersurhay', 'gkantar'), 0.0)
(('1329149879059288064_3113', 'omersurhay', 'ozgurbeker'), 0.6206896551724137)
(('1328447752741683200_3138', 'omersurhay', 'ozgurbeker'), 0.6206896551724137)
(('1328277883694051329_3150', 'omersurhay', 'alikoray'), 0.0)
(('1327519133563543553_3174', 'omersurhay', 'zubeyir'), 1.0)
(('1327199853982703616_3186', 'omersurhay', 'mustafacem'), 0.0)
(('1326999040391835652_3196', 'omersurhay', 'alikoray'), 0.7441860465116279)
(('1326241968729387012_3236', 'omersurhay', 'colakulas'), 1.0)
(('1325788983251570689_3258', 'omersurhay', 'sananbabayev'), 1.0)
(('1325143480620871682_3276', 'omersurhay', 'alikoray'), 0.6206896551724137)
(('1325030233674817542_3280', 'omersurhay', 'umutonder'), 0.42105263157894735)
(('1324366758699016193_3305', 'omersurhay', 'tolgaaydin'), 1.0)
(('1323191475291754496_3326', 'omersurhay', 'fethidenker'), -0.13793103448275867)
(('1322618732770959364_3338', 'omersurhay', 'burakbatman'), 1.0)
(('1321881989146968065_3354', 'omersurhay', 'fethidenker'), -0.10000000000000009)
(('1321489402237870081_3375', 'omersurhay', 'sananbabayev'), 0.56)
(('1321113771851550720_3394', 'omersurhay', 'sananbabayev'), 0.0)
(('1320439992095825922_3426', 'omersurhay', 'rebahozkoc'), 0.7441860465116279)
(('1321035159223685121_3402', 'omersurhay', 'mustafacem'), 0.56)
(('1319766892672843777_3447', 'omersurhay', 'alpercakar'), nan)
(('1319633422994661376_3454', 'omersurhay', 'ozgurbeker'), 1.0)
(('1319209723552501765_3471', 'omersurhay', 'alisinal'), -0.13793103448275867)
(('1318901097847689216_3487', 'omersurhay', 'alpercakar'), 0.0)
(('1318530905762418691_3503', 'omersurhay', 'alpercakar'), 0.6206896551724137)
(('1317798834655924227_3527', 'omersurhay', 'mehmetcandar'), -0.2790697674418605)
(('1317401214238285824_3547', 'omersurhay', 'sananbabayev'), 1.0)
(('1317368498495082496_3551', 'omersurhay', 'msamil'), -0.13793103448275867)
(('1317021210291638272_3570', 'omersurhay', 'kkaan'), nan)
(('1316419746989068288_3592', 'omersurhay', 'alisinal'), 0.6206896551724137)
(('1316083784215797760_3602', 'omersurhay', 'alikoray'), 1.0)
(('1315679871817920513_3619', 'omersurhay', 'tahabayindir'), 1.0)
(('1314591450089177089_3643', 'omersurhay', 'ramonberke'), 0.6206896551724137)
(('1314264295933440000_3652', 'omersurhay', 'alperenyildiz'), 1.0)
(('1313562170291093509_3685', 'omersurhay', 'orkhan'), 0.6206896551724137)
(('1313414947490222081_3694', 'omersurhay', 'sananbabayev'), 0.38888888888888895)
(('1312359241316012035_3726', 'omersurhay', 'alisinal'), 0.6206896551724137)
(('1312052470202339331_3738', 'omersurhay', 'gkantar'), 0.38888888888888895)
(('1311338767366713344_3772', 'omersurhay', 'kkaan'), 1.0)
(('1310158620240359424_3796', 'omersurhay', 'alpercakar'), 0.2325581395348837)
(('1309534861837950976_3821', 'omersurhay', 'alikoray'), 0.0)
(('1309172195675996161_3837', 'omersurhay', 'alisinal'), 0.38888888888888895)
(('1308877549724868608_3847', 'omersurhay', 'dogru'), 0.38888888888888895)
(('1326503693399678976_13', 'zubeyir', 'suedaseker'), 0.56)
(('1334064473204723712_30', 'zubeyir', 'ozgurbeker'), 1.0)
(('1333389062233747456_43', 'zubeyir', 'kkaan'), 1.0)
(('1331880370808172545_77', 'zubeyir', 'ozgurbeker'), 1.0)
(('1329401538834538496_115', 'zubeyir', 'ramonberke'), 1.0)
(('1328708312326606849_131', 'zubeyir', 'tolgaaydin'), 0.0)
(('1327568207310413824_140', 'zubeyir', 'alikoray'), 0.7441860465116279)
(('1326806941071335424_160', 'zubeyir', 'alperenyildiz'), 0.6206896551724137)
(('1325757526218928129_179', 'zubeyir', 'goktugmandaci'), 0.6206896551724137)
(('1324709370354143232_198', 'zubeyir', 'colakulas'), 0.0)
(('1323585715515478016_213', 'zubeyir', 'sananbabayev'), 0.6206896551724137)
(('1322823191103000577_228', 'zubeyir', 'caltinuzengi'), 0.6206896551724137)
(('1321537217269886977_245', 'zubeyir', 'tahabayindir'), 1.0)
(('1321367347936915457_260', 'zubeyir', 'mehmetcandar'), 1.0)
(('1319633422994661376_297', 'zubeyir', 'mehmetcandar'), 1.0)
(('1318455300823941121_322', 'zubeyir', 'kkaan'), 0.5416666666666666)
(('1317712996592947205_329', 'zubeyir', 'rebahozkoc'), -0.13793103448275867)
(('1316839009860026368_341', 'zubeyir', 'rebahozkoc'), 1.0)
(('1315603116000268289_363', 'zubeyir', 'tahabayindir'), 0.6206896551724137)
(('1314496242580361216_378', 'zubeyir', 'colakulas'), 1.0)
(('1313184680561213446_401', 'zubeyir', 'suedaseker'), 1.0)
(('1310893043931918336_434', 'zubeyir', 'mustafacem'), 1.0)
(('1309852725375631362_446', 'zubeyir', 'tolgaaydin'), 0.6206896551724137)
(('1332665544785371137_481', 'zubeyir', 'emirasal'), 1.0)
(('1330423269674008576_502', 'zubeyir', 'oteryaki'), 0.6206896551724137)
(('1328286691451305985_512', 'zubeyir', 'alperenyildiz'), 0.0)
(('1323597040341966848_533', 'zubeyir', 'alisinal'), -0.10000000000000009)
(('1315914997919363075_550', 'zubeyir', 'burakbatman'), 0.6206896551724137)
(('1333683502542245890_572', 'zubeyir', 'dogru'), 0.0)
(('1330094855637221376_629', 'zubeyir', 'onatt'), 1.0)
(('1329411603880558594_639', 'zubeyir', 'alperenyildiz'), 1.0)
(('1328590332997627907_652', 'zubeyir', 'omerkuyucu'), 1.0)
(('1327545557817102336_667', 'zubeyir', 'suedaseker'), 1.0)
(('1326156404676243457_695', 'zubeyir', 'ozgurbeker'), 1.0)
(('1326047554849693696_698', 'zubeyir', 'colakulas'), 1.0)
(('1321452912271241216_731', 'zubeyir', 'alisinal'), 1.0)
(('1320306608656842753_745', 'zubeyir', 'alpercakar'), 1.0)
(('1319266001712656390_753', 'zubeyir', 'rebahozkoc'), 1.0)
(('1316850082784989187_779', 'zubeyir', 'orkhan'), 1.0)
(('1315253311302500352_793', 'zubeyir', 'tolgaaydin'), 1.0)
(('1313372848044597249_811', 'zubeyir', 'sananbabayev'), 0.42105263157894735)
(('1311604659514232832_829', 'zubeyir', 'orkhan'), 0.6206896551724137)
(('1310578270266707968_836', 'zubeyir', 'goktugmandaci'), 1.0)
(('1309404773515505670_860', 'zubeyir', 'burakbatman'), 1.0)
(('1333035482293231616_873', 'zubeyir', 'rebahozkoc'), 0.6206896551724137)
(('1327560380051283968_894', 'zubeyir', 'onatt'), 1.0)
(('1321007476934758401_915', 'zubeyir', 'kkaan'), 1.0)
(('1317762595403812864_926', 'zubeyir', 'fethidenker'), 0.0)
(('1311362229246275585_950', 'zubeyir', 'goktugmandaci'), 0.6206896551724137)
(('1334064473204723712_2273', 'zubeyir', 'emirasal'), 0.6206896551724137)
(('1333683502542245890_2283', 'zubeyir', 'tolgaaydin'), 1.0)
(('1333309789691019264_2301', 'zubeyir', 'goktugmandaci'), 1.0)
(('1331914344771227649_2323', 'zubeyir', 'ozgurbeker'), 1.0)
(('1331505400072478720_2331', 'zubeyir', 'dogru'), 1.0)
(('1330858638806642688_2348', 'zubeyir', 'tolgaaydin'), -0.10000000000000009)
(('1330440885725642752_2361', 'zubeyir', 'gkantar'), 1.0)
(('1329670693479456769_2387', 'zubeyir', 'sananbabayev'), -0.10000000000000009)
(('1329310520407625730_2399', 'zubeyir', 'msamil'), 1.0)
(('1329134232594243588_2418', 'zubeyir', 'goktugmandaci'), nan)
(('1329134232594243588_2433', 'zubeyir', 'dogru'), 0.0)
(('1327919270433525762_2457', 'zubeyir', 'onatt'), 1.0)
(('1327203794430660609_2471', 'zubeyir', 'sananbabayev'), 0.0)
(('1325721035946254338_2494', 'zubeyir', 'mehmetcandar'), 0.0)
(('1324755926197428224_2510', 'zubeyir', 'tolgaaydin'), 1.0)
(('1324627580318867456_2513', 'zubeyir', 'kkaan'), 1.0)
(('1322528752975360002_2545', 'zubeyir', 'tolgaaydin'), 1.0)
(('1320650121978195968_2591', 'zubeyir', 'dogru'), 0.0)
(('1319596990662103041_2609', 'zubeyir', 'mehmetcandar'), -0.10000000000000009)
(('1319166613745262594_2627', 'zubeyir', 'ramonberke'), 1.0)
(('1318542484775972865_2642', 'zubeyir', 'burakbatman'), 0.6206896551724137)
(('1318080691452616704_2655', 'zubeyir', 'ramonberke'), 1.0)
