(('Hurriyet2094', 'tahabayindir', 'colakulas'), 0.5689087797814927)
(('Hurriyet4946', 'tahabayindir', 'mustafacem'), 0.6277426552621792)
(('Hurriyet2551', 'tahabayindir', 'rebahozkoc'), 0.8337240193780278)
(('Hurriyet4366', 'tahabayindir', 'msamil'), 0.6431922379784625)
(('Hurriyet3140', 'tahabayindir', 'alikoray'), 0.677871481173536)
(('Hurriyet231', 'tahabayindir', 'onatt'), 0.9264374295377678)
(('Hurriyet330', 'tahabayindir', 'omersurhay'), 0.9423548650858544)
(('Hurriyet2025', 'tahabayindir', 'alpercakar'), 0.6168032786885246)
(('Hurriyet2789', 'tahabayindir', 'zubeyir'), 0.7748961971923812)
(('Hurriyet2337', 'tahabayindir', 'eagaev'), 0.5690928270042194)
(('Hurriyet427', 'tahabayindir', 'dogru'), 0.8128194848150747)
(('Hurriyet3200', 'tahabayindir', 'omerkuyucu'), 0.8388725969371131)
(('Hurriyet1798', 'tahabayindir', 'colakulas'), 0.6530303030303031)
(('Hurriyet2691', 'tahabayindir', 'mustafacem'), 0.7567704674939515)
(('Hurriyet90', 'tahabayindir', 'alperenyildiz'), 0.4811997908447022)
(('Hurriyet4704', 'tahabayindir', 'alperenyildiz'), 0.7225852272727273)
(('Hurriyet1451', 'tahabayindir', 'msamil'), 0.7756461171870226)
(('Hurriyet680', 'tahabayindir', 'burakbatman'), 0.7756186679953496)
(('Hurriyet1260', 'tahabayindir', 'omersurhay'), 0.7183770883054893)
(('Hurriyet4016', 'tahabayindir', 'omersurhay'), 0.8017789072426937)
(('Hurriyet2739', 'tahabayindir', 'alpercakar'), 0.4647268734559429)
(('Hurriyet4269', 'emirasal', 'goktugmandaci'), 0.6732011583871687)
(('Hurriyet3721', 'emirasal', 'alperenyildiz'), 0.8664789177238511)
(('cnnturk1341', 'emirasal', 'mehmetcandar'), 0.8057346542957489)
(('Hurriyet4333', 'emirasal', 'idilkale'), 0.6882277379521817)
(('Hurriyet382', 'emirasal', 'sananbabayev'), 0.8606163853182592)
(('Hurriyet3729', 'emirasal', 'eagaev'), 0.6802583770690351)
(('Hurriyet3431', 'emirasal', 'onatt'), 0.5292233787029624)
(('Hurriyet3287', 'emirasal', 'oteryaki'), 0.5524412296564195)
(('cnnturk1178', 'emirasal', 'colakulas'), 0.9275114155251142)
(('Hurriyet4664', 'emirasal', 'alpercakar'), 0.7326682276290339)
(('Hurriyet3996', 'emirasal', 'ramonberke'), 0.8784370477568741)
(('Hurriyet874', 'emirasal', 'omerkuyucu'), 0.6554487179487181)
(('Hurriyet4489', 'emirasal', 'caltinuzengi'), 0.9815806382523025)
(('cnnturk1049', 'emirasal', 'ozgurbeker'), 0.6121142481943533)
(('cnnturk1266', 'emirasal', 'goktugmandaci'), 0.8562778272484417)
(('cnnturk168', 'emirasal', 'burakbatman'), 0.7275265214963708)
(('Hurriyet4215', 'emirasal', 'sananbabayev'), 0.8030145113445041)
(('Hurriyet2372', 'emirasal', 'caltinuzengi'), 0.78784)
(('Hurriyet451', 'emirasal', 'burakbatman'), 0.6892523364485981)
(('Hurriyet3425', 'emirasal', 'kkaan'), 0.8175089331291475)
(('Hurriyet3169', 'emirasal', 'kkaan'), 0.6296697347049269)
(('Hurriyet4806', 'emirasal', 'sananbabayev'), 0.7613636363636364)
(('Hurriyet3234', 'emirasal', 'alperenyildiz'), 0.6640869971312295)
(('Hurriyet283', 'emirasal', 'alperenyildiz'), 0.8585810162991371)
(('Hurriyet1276', 'emirasal', 'dogru'), 0.812958435207824)
(('Hurriyet3075', 'emirasal', 'tolgaaydin'), 0.8106624852998824)
(('Hurriyet482', 'emirasal', 'mehmetcandar'), 0.5653535090007826)
(('cnnturk356', 'emirasal', 'goktugmandaci'), 0.7925598119208961)
(('cnnturk1030', 'emirasal', 'tolgaaydin'), 0.8777044184865413)
(('Hurriyet3527', 'emirasal', 'ozgurbeker'), 0.672938689217759)
(('Hurriyet3962', 'emirasal', 'zubeyir'), 0.8669502997485979)
(('cnnturk374', 'emirasal', 'alikoray'), 0.8001332445036642)
(('Hurriyet3634', 'emirasal', 'burakbatman'), 0.7169498144893576)
(('Hurriyet3878', 'emirasal', 'ozgurbeker'), 0.7986418434304898)
(('cnnturk600', 'emirasal', 'tolgaaydin'), 0.9571574294457668)
(('Hurriyet1623', 'orkhan', 'oteryaki'), 0.8624680595220202)
(('Hurriyet906', 'orkhan', 'umutonder'), 0.6311475409836066)
(('Hurriyet2503', 'orkhan', 'onatt'), 0.9582603619381203)
(('Hurriyet2829', 'orkhan', 'fethidenker'), 0.6366061899679829)
(('Hurriyet468', 'orkhan', 'mustafacem'), 0.8493575542755871)
(('Hurriyet1140', 'orkhan', 'goktugmandaci'), 0.7419354838709677)
(('Hurriyet3646', 'orkhan', 'fethidenker'), 0.543726235741445)
(('Hurriyet1034', 'orkhan', 'caltinuzengi'), 0.846309403437816)
(('Hurriyet88', 'orkhan', 'oteryaki'), 0.8350848021283671)
(('Hurriyet4108', 'orkhan', 'alikoray'), 0.9148020654044751)
(('Hurriyet139', 'orkhan', 'burakbatman'), 0.9129275877387828)
(('Hurriyet4580', 'orkhan', 'umutonder'), 0.6410357002746174)
(('Hurriyet1245', 'orkhan', 'ozgurbeker'), 0.4418655813441865)
(('Hurriyet640', 'orkhan', 'dogru'), 0.6728397418763603)
(('Hurriyet3777', 'orkhan', 'goktugmandaci'), 0.9132400971442928)
(('Hurriyet2778', 'orkhan', 'onatt'), 0.7233233139207214)
(('cnnturk1198', 'orkhan', 'fethidenker'), 0.8839900574548715)
(('cnnturk672', 'orkhan', 'umutonder'), 0.7114427860696517)
(('Hurriyet2993', 'orkhan', 'onatt'), 0.5813733228097868)
(('Hurriyet2681', 'orkhan', 'idilkale'), 0.8928928928928929)
(('Hurriyet4769', 'orkhan', 'mehmetcandar'), 0.6797376500139547)
(('Hurriyet4146', 'orkhan', 'rebahozkoc'), 0.826741082261587)
(('Hurriyet4043', 'orkhan', 'mustafacem'), 0.49514282966240264)
