(('Hurriyet4272', 'suedaseker', 'ozgurbeker'), 0.7268037954530981)
(('Hurriyet3804', 'suedaseker', 'mehmetcandar'), 0.9406961753330468)
(('Hurriyet3804', 'suedaseker', 'goktugmandaci'), 0.9297633329697895)
(('Hurriyet3804', 'suedaseker', 'mustafacem'), 0.7318482277624525)
(('Hurriyet3804', 'mehmetcandar', 'goktugmandaci'), 0.9399804284005654)
(('Hurriyet3804', 'mehmetcandar', 'mustafacem'), 0.7040419239350386)
(('Hurriyet3804', 'goktugmandaci', 'mustafacem'), 0.7386226127216289)
(('Hurriyet592', 'tahabayindir', 'alpercakar'), 0.5872201492537312)
(('Hurriyet2862', 'tahabayindir', 'gkantar'), 0.7896213183730715)
(('cnnturk794', 'tahabayindir', 'onatt'), 0.5883260650788327)
(('cnnturk794', 'tahabayindir', 'kkaan'), 0.5650386333026158)
(('cnnturk794', 'tahabayindir', 'raulaliyev'), 0.29774700916985486)
(('cnnturk794', 'onatt', 'kkaan'), 0.7997029492892)
(('cnnturk794', 'onatt', 'raulaliyev'), 0.5266804424456059)
(('cnnturk794', 'kkaan', 'raulaliyev'), 0.4739523627563368)
(('Hurriyet1457', 'tahabayindir', 'raulaliyev'), 0.6755845797345692)
(('cnnturk1233', 'tahabayindir', 'emirasal'), 0.8905075552111584)
(('Hurriyet827', 'tahabayindir', 'fethidenker'), 0.8336721493254482)
(('cnnturk516', 'tahabayindir', 'fethidenker'), 0.679739322704527)
(('Hurriyet345', 'tahabayindir', 'burakbatman'), 0.9526274915868496)
(('Hurriyet2452', 'tahabayindir', 'sananbabayev'), 0.6884472049689441)
(('Hurriyet653', 'tahabayindir', 'emirasal'), 0.9879795129089579)
(('Hurriyet2542', 'tahabayindir', 'umutonder'), 0.8093525179856116)
(('Hurriyet670', 'emirasal', 'oteryaki'), 0.7022682228584012)
(('Hurriyet3174', 'emirasal', 'zubeyir'), 0.6273003802281368)
(('cnnturk1175', 'emirasal', 'goktugmandaci'), 0.9235155054929773)
(('Hurriyet4598', 'emirasal', 'umutonder'), 0.6743203268065925)
(('Hurriyet2034', 'emirasal', 'omersurhay'), 0.8870908614820634)
(('Hurriyet1805', 'emirasal', 'ozgurbeker'), 0.8344827586206897)
(('cnnturk845', 'emirasal', 'omersurhay'), 0.9325800018991549)
(('Hurriyet3759', 'emirasal', 'orkhan'), 0.539000718907261)
(('cnnturk910', 'emirasal', 'burakbatman'), 0.6429978056602712)
(('Hurriyet1810', 'emirasal', 'onatt'), 0.9631029117581684)
(('Hurriyet3596', 'emirasal', 'kkaan'), 0.6137744767049291)
(('cnnturk135', 'emirasal', 'orkhan'), 0.9037631091918569)
(('cnnturk135', 'emirasal', 'alpercakar'), 0.8614564831261101)
(('cnnturk135', 'emirasal', 'burakbatman'), 1.0)
(('cnnturk135', 'orkhan', 'alpercakar'), 0.8614564831261101)
(('cnnturk135', 'orkhan', 'burakbatman'), 0.9037631091918569)
(('cnnturk135', 'alpercakar', 'burakbatman'), 0.8614564831261101)
(('cnnturk181', 'emirasal', 'zubeyir'), 0.91189111747851)
(('cnnturk181', 'emirasal', 'dogru'), 0.8397046046915726)
(('cnnturk181', 'zubeyir', 'dogru'), 0.8201754385964912)
(('Hurriyet4163', 'zubeyir', 'sananbabayev'), 0.7658908664189321)
(('Hurriyet4595', 'zubeyir', 'ozgurbeker'), 0.687488517361749)
(('Hurriyet3789', 'zubeyir', 'idilkale'), 0.7864003606227677)
(('Hurriyet1207', 'zubeyir', 'kkaan'), 0.8580383836435529)
(('Hurriyet1207', 'zubeyir', 'omerkuyucu'), 0.7584879243962198)
(('Hurriyet1207', 'kkaan', 'omerkuyucu'), 0.8480956923754311)
(('Hurriyet3257', 'zubeyir', 'caltinuzengi'), 0.6163215590742996)
(('Hurriyet584', 'zubeyir', 'omersurhay'), 0.7900626678603402)
(('Hurriyet807', 'zubeyir', 'alperenyildiz'), 0.8575955768323107)
(('Hurriyet3353', 'zubeyir', 'omerkuyucu'), 0.6650573325286663)
(('Hurriyet4506', 'zubeyir', 'mehmetcandar'), 0.939434087252768)
(('Hurriyet3913', 'zubeyir', 'omersurhay'), 0.8213994010345766)
(('Hurriyet1233', 'zubeyir', 'alpercakar'), 0.7087087087087087)
(('Hurriyet1465', 'zubeyir', 'alikoray'), 0.8389458272327965)
(('Hurriyet3985', 'zubeyir', 'raulaliyev'), 0.8193392980041294)
(('Hurriyet4074', 'zubeyir', 'umutonder'), 0.9088372093023256)
(('Hurriyet970', 'omersurhay', 'raulaliyev'), 0.12535458597865734)
(('cnnturk85', 'omersurhay', 'fethidenker'), 0.7155425219941349)
(('cnnturk313', 'omersurhay', 'alperenyildiz'), 0.7756361803980851)
(('Hurriyet3837', 'omersurhay', 'msamil'), 0.8729314420803782)
(('Hurriyet1072', 'omersurhay', 'colakulas'), 0.8200519273017775)
(('cnnturk61', 'omersurhay', 'colakulas'), 0.8455377574370709)
(('cnnturk1338', 'omersurhay', 'ozgurbeker'), 0.9271914418010538)
(('Hurriyet4187', 'omersurhay', 'idilkale'), 0.6870588235294117)
(('Hurriyet4601', 'omersurhay', 'umutonder'), 0.7466277798031353)
(('Hurriyet4522', 'omersurhay', 'gkantar'), 0.8303637166838462)
(('Hurriyet4282', 'omersurhay', 'colakulas'), 0.8490770366724095)
(('Hurriyet1373', 'omersurhay', 'alperenyildiz'), 0.8706550802139037)
(('Hurriyet1373', 'omersurhay', 'caltinuzengi'), 0.9606347268843455)
(('Hurriyet1373', 'omersurhay', 'burakbatman'), 1.0)
(('Hurriyet1373', 'alperenyildiz', 'caltinuzengi'), 0.8330907326540514)
(('Hurriyet1373', 'alperenyildiz', 'burakbatman'), 0.8706550802139037)
(('Hurriyet1373', 'caltinuzengi', 'burakbatman'), 0.9606347268843455)
(('cnnturk1239', 'omersurhay', 'oteryaki'), 0.8627817353731169)
(('cnnturk334', 'omersurhay', 'dogru'), 0.7033694921762503)
(('Hurriyet521', 'alikoray', 'tolgaaydin'), 0.9130187606594656)
(('Hurriyet1085', 'alikoray', 'caltinuzengi'), 0.7272727272727273)
(('Hurriyet1099', 'alikoray', 'gkantar'), 0.7110352673492606)
(('Hurriyet4061', 'alikoray', 'alpercakar'), 0.9740224227508887)
(('Hurriyet4650', 'alikoray', 'burakbatman'), 0.6318267419962336)
(('Hurriyet1321', 'alikoray', 'idilkale'), 0.8104967636278562)
(('Hurriyet1219', 'alikoray', 'onatt'), 0.8180003991219318)
(('Hurriyet3753', 'alikoray', 'tolgaaydin'), 0.7089170558149878)
(('cnnturk906', 'alikoray', 'caltinuzengi'), 0.5193844332642794)
(('Hurriyet4685', 'alikoray', 'tolgaaydin'), 0.8814783347493628)
(('cnnturk210', 'alikoray', 'sananbabayev'), 0.5164075993091537)
(('Hurriyet3775', 'alikoray', 'burakbatman'), 0.7028688524590163)
(('Hurriyet319', 'alikoray', 'colakulas'), 0.7648902821316614)
(('Hurriyet319', 'alikoray', 'idilkale'), 0.7782222995303532)
(('Hurriyet319', 'alikoray', 'burakbatman'), 0.9723858615611193)
(('Hurriyet319', 'colakulas', 'idilkale'), 0.910941475826972)
(('Hurriyet319', 'colakulas', 'burakbatman'), 0.7918834547346514)
(('Hurriyet319', 'idilkale', 'burakbatman'), 0.8050259965337955)
(('Hurriyet235', 'alikoray', 'oteryaki'), 0.6362189688096753)
(('cnnturk123', 'alikoray', 'umutonder'), 0.7574644005512172)
(('Hurriyet2011', 'ozgurbeker', 'alpercakar'), 0.820612029546254)
(('cnnturk1215', 'ozgurbeker', 'raulaliyev'), 0.9281478897802581)
(('cnnturk301', 'ozgurbeker', 'mustafacem'), 0.6927380952380953)
(('Hurriyet4246', 'ozgurbeker', 'omerkuyucu'), 0.8890759040069497)
(('Hurriyet4331', 'ozgurbeker', 'orkhan'), 0.7801860226981825)
(('Hurriyet2870', 'ozgurbeker', 'orkhan'), 0.6497520030522701)
(('Hurriyet1564', 'ozgurbeker', 'fethidenker'), 0.7190211057879063)
(('Hurriyet1302', 'ozgurbeker', 'burakbatman'), 0.7618509407619174)
(('Hurriyet1439', 'ozgurbeker', 'burakbatman'), 1.0)
(('cnnturk490', 'ozgurbeker', 'caltinuzengi'), 0.8603032178217822)
(('Hurriyet1190', 'ozgurbeker', 'umutonder'), 0.7141119221411192)
(('Hurriyet1593', 'ozgurbeker', 'oteryaki'), 0.6963696369636965)
(('Hurriyet1593', 'ozgurbeker', 'goktugmandaci'), 0.6196918451709883)
(('Hurriyet1593', 'ozgurbeker', 'alperenyildiz'), 0.4998125234345707)
(('Hurriyet1593', 'oteryaki', 'goktugmandaci'), 0.451985559566787)
(('Hurriyet1593', 'oteryaki', 'alperenyildiz'), 0.37206860343017145)
(('Hurriyet1593', 'goktugmandaci', 'alperenyildiz'), 0.757206658546488)
(('Hurriyet1007', 'ozgurbeker', 'onatt'), 0.9544680851063829)
(('cnnturk375', 'ozgurbeker', 'goktugmandaci'), 0.6818846466287571)
(('cnnturk58', 'onatt', 'caltinuzengi'), 0.8871500717002306)
(('Hurriyet4900', 'onatt', 'orkhan'), 1.0)
(('Hurriyet1089', 'onatt', 'mehmetcandar'), 0.8185362927414517)
(('Hurriyet814', 'onatt', 'burakbatman'), 0.6306692959053474)
(('Hurriyet3850', 'onatt', 'gkantar'), 0.7962697274031564)
(('Hurriyet3989', 'onatt', 'mustafacem'), 0.8399577910657756)
(('Hurriyet1516', 'onatt', 'umutonder'), 0.8813501534265258)
(('Hurriyet1516', 'onatt', 'orkhan'), 0.7189468583427556)
(('Hurriyet1516', 'onatt', 'alpercakar'), 0.8009153318077803)
(('Hurriyet1516', 'umutonder', 'orkhan'), 0.7431734317343174)
(('Hurriyet1516', 'umutonder', 'alpercakar'), 0.7038801906058543)
(('Hurriyet1516', 'orkhan', 'alpercakar'), 0.7191283292978208)
